0.028	0.038	0.022	0.032	0.045	0.041	0.029	0.039	0.03	0.044	0.03	0.034	0.032	0.031	0.032	0.03	0.028	0.039	0.029	0.036	0.036	0.04	0.033	0.046	0.033	0.027	0.035	0.026	0.038	0.035	0.034	0.038	0.03	0.043	0.029	0.032	0.029	0.03	0.029	0.03	0.038	0.032	0.032	0.033	0.031	0.031	0.03	0.026	0.037	0.024	
0.036	0.029	0.037	0.041	0.023	0.043	0.029	0.044	0.026	0.031	0.034	0.039	0.039	0.026	0.031	0.021	0.037	0.039	0.031	0.036	0.04	0.041	0.032	0.037	0.037	0.027	0.028	0.036	0.029	0.031	0.034	0.036	0.04	0.044	0.028	0.042	0.03	0.034	0.04	0.041	0.032	0.037	0.034	0.028	0.033	0.033	0.019	0.028	0.036	0.029	
0.036	0.033	0.05	0.036	0.04	0.047	0.043	0.028	0.035	0.039	0.026	0.042	0.03	0.035	0.024	0.03	0.028	0.034	0.033	0.036	0.027	0.033	0.043	0.038	0.035	0.034	0.036	0.041	0.039	0.026	0.032	0.041	0.035	0.033	0.025	0.025	0.042	0.027	0.041	0.04	0.028	0.029	0.026	0.04	0.031	0.023	0.046	0.031	0.033	0.036	
0.037	0.039	0.043	0.036	0.035	0.031	0.04	0.035	0.04	0.037	0.03	0.031	0.025	0.025	0.026	0.035	0.035	0.031	0.043	0.051	0.036	0.037	0.03	0.032	0.032	0.046	0.038	0.031	0.031	0.031	0.033	0.037	0.028	0.044	0.038	0.031	0.031	0.03	0.029	0.041	0.034	0.029	0.029	0.035	0.029	0.024	0.024	0.032	0.045	0.033	
0.041	0.032	0.036	0.043	0.029	0.036	0.036	0.031	0.025	0.039	0.038	0.031	0.035	0.032	0.028	0.03	0.033	0.027	0.031	0.036	0.038	0.031	0.041	0.034	0.027	0.037	0.034	0.031	0.037	0.032	0.036	0.022	0.029	0.026	0.037	0.034	0.032	0.036	0.026	0.039	0.032	0.037	0.035	0.038	0.025	0.033	0.023	0.036	0.034	0.039	
0.039	0.036	0.041	0.036	0.025	0.021	0.037	0.037	0.03	0.038	0.034	0.029	0.03	0.025	0.035	0.028	0.031	0.032	0.035	0.036	0.035	0.035	0.039	0.03	0.026	0.038	0.029	0.03	0.037	0.028	0.03	0.033	0.032	0.036	0.027	0.025	0.047	0.032	0.033	0.03	0.033	0.034	0.03	0.023	0.025	0.028	0.028	0.04	0.035	0.037	
0.045	0.049	0.037	0.027	0.034	0.034	0.033	0.05	0.046	0.046	0.043	0.028	0.033	0.037	0.038	0.045	0.03	0.022	0.032	0.037	0.021	0.022	0.031	0.035	0.034	0.035	0.033	0.029	0.041	0.035	0.035	0.024	0.024	0.036	0.035	0.038	0.034	0.034	0.039	0.036	0.033	0.026	0.028	0.031	0.031	0.039	0.026	0.027	0.035	0.04	
0.032	0.04	0.04	0.027	0.037	0.035	0.038	0.037	0.044	0.029	0.026	0.041	0.024	0.043	0.022	0.031	0.025	0.032	0.046	0.026	0.032	0.029	0.035	0.026	0.029	0.038	0.036	0.026	0.042	0.037	0.037	0.03	0.037	0.032	0.035	0.034	0.04	0.033	0.035	0.032	0.036	0.027	0.04	0.027	0.04	0.027	0.029	0.03	0.03	0.041	
0.035	0.037	0.04	0.031	0.032	0.041	0.031	0.034	0.038	0.035	0.031	0.028	0.035	0.04	0.038	0.03	0.047	0.029	0.038	0.04	0.028	0.041	0.036	0.035	0.03	0.031	0.028	0.031	0.041	0.026	0.034	0.03	0.026	0.03	0.04	0.032	0.045	0.035	0.021	0.029	0.035	0.029	0.033	0.036	0.039	0.021	0.034	0.027	0.037	0.031	
0.04	0.045	0.041	0.044	0.037	0.039	0.04	0.036	0.039	0.029	0.055	0.037	0.033	0.038	0.031	0.033	0.043	0.031	0.038	0.039	0.038	0.036	0.036	0.035	0.034	0.036	0.037	0.029	0.041	0.041	0.031	0.038	0.04	0.028	0.04	0.037	0.034	0.035	0.037	0.043	0.03	0.023	0.028	0.034	0.023	0.036	0.03	0.024	0.037	0.033	
